"name","club","age","position","position_cat","market_value","page_views","fpl_value","fpl_sel","fpl_points","region","nationality","new_foreign","age_cat","club_id","big_club","new_signing"
"Alexis Sanchez","Arsenal","28","LW","1","65.0","4329","12.0","0.171","264","3","Chile","0","4","1","1","0"
"Mesut Ozil","Arsenal","28","AM","1","50.0","4395","9.5","0.055999999999999994","167","2","Germany","0","4","1","1","0"
"Petr Cech","Arsenal","35","GK","4","7.0","1529","5.5","0.059000000000000004","134","2","Czech Republic","0","6","1","1","0"
"Theo Walcott","Arsenal","28","RW","1","20.0","2393","7.5","0.015","122","1","England","0","4","1","1","0"
"Laurent Koscielny","Arsenal","31","CB","3","22.0","912","6.0","0.006999999999999999","121","2","France","0","4","1","1","0"
"Hector Bellerin","Arsenal","22","RB","3","30.0","1675","6.0","0.13699999999999998","119","2","Spain","0","2","1","1","0"
"Olivier Giroud","Arsenal","30","CF","1","22.0","2230","8.5","0.025","116","2","France","0","4","1","1","0"
"Nacho Monreal","Arsenal","31","LB","3","13.0","555","5.5","0.047","115","2","Spain","0","4","1","1","0"
"Shkodran Mustafi","Arsenal","25","CB","3","30.0","1877","5.5","0.04","90","2","Germany","0","3","1","1","1"
"Alex Iwobi","Arsenal","21","LW","1","10.0","1812","5.5","0.01","89","4","Nigeria","0","1","1","1","0"
"Granit Xhaka","Arsenal","24","DM","2","35.0","1815","5.5","0.02","85","2","Switzerland","0","2","1","1","0"
"Alex Oxlade-Chamberlain","Arsenal","23","RM","2","22.0","1519","6.0","0.018000000000000002","83","1","England","0","2","1","1","0"
"Jack Wilshere","Arsenal","25","CM","2","18.0","1759","5.5","0.0","61","1","England","0","3","1","1","0"
"Aaron Ramsey","Arsenal","26","CM","2","35.0","1040","7.0","0.051","56","1","Wales","0","3","1","1","0"
"Francis Coquelin","Arsenal","26","DM","2","15.0","549","4.5","0.017","52","2","France","0","3","1","1","0"
"Gabriel Paulista","Arsenal","26","CB","3","13.0","552","5.0","0.001","45","3","Brazil","0","3","1","1","0"
"Kieran Gibbs","Arsenal","27","LB","3","10.0","489","5.0","0.005","45","1","England","0","3","1","1","0"
"Santi Cazorla","Arsenal","32","CM","2","12.0","943","7.0","0.001","38","2","Spain","0","5","1","1","0"
"Danny Welbeck","Arsenal","26","CF","1","15.0","1521","7.5","0.005","37","1","England","0","3","1","1","0"
"Rob Holding","Arsenal","21","CB","3","7.0","666","5.0","0.017","32","1","England","0","1","1","1","1"
"Mohamed Elneny","Arsenal","25","DM","2","10.0","683","4.5","0.008","26","4","Egypt","0","3","1","1","0"
"Lucas Perez","Arsenal","28","CF","1","15.0","2055","7.5","0.001","20","2","Spain","0","4","1","1","1"
"Emiliano Martinez","Arsenal","24","GK","4","1.0","372","4.0","0.042","8","3","Argentina","0","2","1","1","0"
"David Ospina","Arsenal","28","GK","4","7.0","544","5.0","0.002","2","3","Colombia","0","4","1","1","0"
"Carl Jenkinson","Arsenal","25","RB","3","5.0","561","4.5","0.004","2","1","England","0","3","1","1","0"
"Per Mertesacker","Arsenal","32","CB","3","6.0","702","5.0","0.01","1","2","Germany","0","5","1","1","0"
