"Number","Name","Country","Region","Type","Activity Evidence","Last Known Eruption","Latitude","Longitude","Elevation (Meters)","Dominant Rock Type","Tectonic Setting"
"210010","West Eifel Volcanic Field","Germany","Mediterranean and Western Asia","Maar","Eruption Dated","8300 BCE","50.17","6.85","600","Foidite","Rift Zone / Continental Crust"
"210020","Chaine des Puys","France","Mediterranean and Western Asia","Lava dome","Eruption Dated","4040 BCE","45.775","2.97","1464","Basalt / Picro-Basalt","Rift Zone / Continental Crust"
"210030","Olot Volcanic Field","Spain","Mediterranean and Western Asia","Pyroclastic cone","Evidence Credible","Unknown","42.17","2.53","893","Trachybasalt / Tephrite Basanite","Intraplate / Continental Crust"
"210040","Calatrava Volcanic Field","Spain","Mediterranean and Western Asia","Pyroclastic cone","Eruption Dated","3600 BCE","38.87","-4.02","1117","Basalt / Picro-Basalt","Intraplate / Continental Crust"
"211001","Larderello","Italy","Mediterranean and Western Asia","Explosion crater","Eruption Observed","1282 CE","43.25","10.87","500","No Data","Subduction Zone / Continental Crust"
"211003","Vulsini","Italy","Mediterranean and Western Asia","Caldera","Eruption Observed","104 BCE","42.6","11.93","800","Trachyte / Trachydacite","Subduction Zone / Continental Crust"
"211004","Colli Alban","Italy","Mediterranean and Western Asia","Caldera","Evidence Uncertain","Unknown","41.73","12.7","949","Foidite","Subduction Zone / Continental Crust"
"211010","Campi Flegrei","Italy","Mediterranean and Western Asia","Caldera","Eruption Observed","1538 CE","40.827","14.139","458","Trachyte / Trachydacite","Subduction Zone / Continental Crust"
"211020","Vesuvius","Italy","Mediterranean and Western Asia","Stratovolcano","Eruption Observed","1944 CE","40.821","14.426","1281","Phono-tephrite /  Tephri-phonolite","Subduction Zone / Continental Crust"
"211030","Ischia","Italy","Mediterranean and Western Asia","Complex","Eruption Observed","1302 CE","40.73","13.897","789","Trachyte / Trachydacite","Subduction Zone / Continental Crust"
"211031","Palinuro","Italy","Mediterranean and Western Asia","Submarine","Eruption Dated","8040 BCE","39.48","14.83","-70","Phonolite","Subduction Zone / Continental Crust"
"211040","Stromboli","Italy","Mediterranean and Western Asia","Stratovolcano","Eruption Observed","2016 CE","38.789","15.213","924","Trachyandesite / Basaltic Trachyandesite","Subduction Zone / Continental Crust"
"211041","Panarea","Italy","Mediterranean and Western Asia","Stratovolcano","Evidence Uncertain","Unknown","38.638","15.064","399","Andesite / Basaltic Andesite","Subduction Zone / Continental Crust"
"211042","Lipari","Italy","Mediterranean and Western Asia","Stratovolcano","Eruption Dated","1230 CE","38.49","14.933","590","Rhyolite","Subduction Zone / Continental Crust"
"211050","Vulcano","Italy","Mediterranean and Western Asia","Stratovolcano","Eruption Observed","1890 CE","38.404","14.962","500","Trachybasalt / Tephrite Basanite","Subduction Zone / Continental Crust"
"211060","Etna","Italy","Mediterranean and Western Asia","Stratovolcano","Eruption Observed","2016 CE","37.734","15.004","3330","Trachybasalt / Tephrite Basanite","Subduction Zone / Continental Crust"
"211070","Campi Flegrei Mar Sicilia","Italy","Mediterranean and Western Asia","Submarine","Eruption Observed","1867 CE","37.1","12.7","-8","Trachybasalt / Tephrite Basanite","Rift Zone / Continental Crust"
"211071","Pantelleria","Italy","Mediterranean and Western Asia","Shield","Eruption Observed","1891 CE","36.77","12.02","836","Rhyolite","Rift Zone / Continental Crust"
"211080","Marsili","Italy","Mediterranean and Western Asia","Submarine","Eruption Dated","1050 BCE","39.284","14.399","-779","",""
