"Position","Team","Played","Won","Drawn","Lost","Goals For","Goals Against","Goal Difference","Points 1"
"1","Colne Dynamoes","42","32","6","4","86","40","+46","102"
"2","Gateshead","42","22","10","10","78","58","+20","76"
"3","Witton Albion","42","22","7","13","67","39","+28","73"
"4","Hyde United","42","21","8","13","73","50","+23","71"
"5","South Liverpool","42","20","9","13","89","79","+10","69"
"6","Matlock Town","42","18","12","12","61","42","+19","66"
"7","Southport","42","17","14","11","54","48","+6","65"
"8","Fleetwood Town","42","17","12","13","73","66","+7","63"
"9","Marine","42","16","14","12","59","55","+4","62"
"10","Bangor City","42","15","15","12","64","58","+6","60"
"11","Bishop Auckland","42","17","8","17","72","64","+8","59"
"12","Gainsborough Trinity","42","16","8","18","59","55","+4","56"
"13","Frickley Athletic","42","16","8","18","56","61","−5","56"
"14","Horwich RMI","42","15","13","14","66","69","−3","55 2"
"15","Morecambe","42","15","9","18","58","70","−12","54"
"16","Buxton","42","15","8","19","59","72","−13","53"
"17","Stalybridge Celtic","42","12","9","21","48","61","−13","45"
"18","Mossley","42","11","10","21","61","82","−21","43"
"19","Goole Town","42","12","5","25","54","77","−23","41"
"20","Shepshed Charterhouse","42","11","7","24","55","82","−27","40"
"21","Caernarfon Town","42","10","8","24","56","86","−30","38"
"22","Rhyl","42","7","10","25","43","77","−34","30 3"
