"Pos","Team","GP","W","D","L","Pts","GF","GA","GD"
"1","Ajax","34","27","7","0","61","106","28","78"
"2","Roda JC","34","22","10","2","54","70","28","42"
"3","PSV","34","20","7","7","47","85","46","39"
"4","Feyenoord","34","19","5","10","43","66","56","10"
"5","FC Twente","34","17","8","9","42","66","50","16"
"6","Vitesse","34","14","12","8","40","55","44","11"
"7","Willem II","34","13","8","13","34","44","48","-4"
"8","RKC","34","11","11","12","33","46","49","-3"
"9","sc Heerenveen","34","12","6","16","30","47","60","-13"
"10","NAC","34","11","7","16","29","54","60","-6"
"11","FC Volendam","34","8","13","13","29","37","55","-18"
"12","FC Utrecht","34","8","11","15","27","43","60","-17"
"13","FC Groningen","34","8","10","16","26","49","64","-15"
"14","Sparta","34","8","10","16","26","42","58","-16"
"15","NEC","34","9","7","18","25","48","60","-12"
"16","MVV_Maastricht","34","7","9","18","23","41","71","-30"
"17","Go Ahead Eagles","34","7","9","18","23","42","77","-35"
"18","Dordrecht'90","34","5","10","19","20","40","67","-27"
