"Game","March","Opponent","Score","Location/Attendance","Record","Points","Decision"
"64","2","Pittsburgh Penguins","3-2","Air Canada Centre","28-27-9","65","Reimer"
"65","3","@ Philadelphia Flyers","3-2","Wells Fargo Center","29-27-9","67","Reimer"
"66","5","Chicago Blackhawks","3-5","Air Canada Centre","29-28-9","67","Reimer"
"67","8","@ New York Islanders","3-4","Nassau Veterans Memorial Coliseum","29-28-10","68","Reimer"
"68","10","Philadelphia Flyers","2-3","Air Canada Centre","29-29-10","68","Reimer"
"69","12","Buffalo Sabres","4-3","Air Canada Centre","30-29-10","70","Reimer"
"70","14","Tampa Bay Lightning","2-6","Air Canada Centre","30-30-10","70","Reimer"
"71","16","@ Carolina Hurricanes","3-1","RBC Center","31-30-10","72","Reimer"
"72","17","@ Florida Panthers","0-4","BankAtlantic Center","31-31-10","72","Giguère"
"73","19","Boston Bruins","5-2","Air Canada Centre","32-31-10","74","Reimer"
"74","22","@ Minnesota Wild","3-0","Xcel Energy Center","33-31-10","76","Reimer"
"75","24","@ Colorado Avalanche","4-3","Pepsi Center","34-31-10","78","Reimer"
"76","26","@ Detroit Red Wings","2-4","Joe Louis Arena","34-32-10","78","Reimer"
"77","29","Buffalo Sabres","4-3","Air Canada Centre","35-32-10","80","Reimer"
