"Player","W-L (Total)","W-L (Singles)","W-L (Doubles)","Ties","Debut","Years Played"
"Georgi Arabov","3-0","1-0","2-0","3","1995-01-01T00:00:00","1"
"Teodor Bachev","0-2","0-0","0-2","2","1984-01-01T00:00:00","2"
"Ivo Bratanov","18-2","5-2","13-0","17","1996-01-01T00:00:00","6"
"Nikolai Chuparov","0-3","0-2","0-1","1","1964-01-01T00:00:00","1"
"Grigor Dimitrov","16-4","14-1","2-3","12","2008-01-01T00:00:00","5"
"Valentin Dimov","0-3","0-2","0-1","3","2009-01-01T00:00:00","3"
"Todor Enev","28-20","17-14","11-6","33","1999-01-01T00:00:00","14"
"Ljuben Genov","13-14","12-14","1-0","15","1968-01-01T00:00:00","11"
"Tihomir Grozdanov","7-2","2-2","5-0","7","2008-01-01T00:00:00","3"
"Victor Ivanchev","2-1","0-1","2-0","31","2001-01-01T00:00:00","1"
"Simeon Ivanov","5-0","1-0","4-0","4","2008-01-01T00:00:00","1"
"Mihail Kanev","1-0","1-0","0-0","1","1995-01-01T00:00:00","1"
"Yordan Kanev","3-7","2-5","1-2","8","2004-01-01T00:00:00","4"
"Ivan Keskinov","15-8","13-7","2-1","14","1989-01-01T00:00:00","6"
"Ilia Kushev","6-9","3-5","3-4","10","2003-01-01T00:00:00","5"
"Dimitar Kutrovsky","2-3","2-2","0-1","2","2011-01-01T00:00:00","1"
"Dimitar Kuzmanov","5-3","5-1","0-2","7","2011-01-01T00:00:00","3"
"Krassimir Lazarov","15-24","10-14","5-10","17","1983-01-01T00:00:00","10"
"Marian Lazarov","4-3","0-1","4-2","6","1983-01-01T00:00:00","3"
"Alexander Lazov","1-2","0-2","1-0","2","2013-01-01T00:00:00","1"
"Radoslav Lukaev","7-5","4-3","3-2","5","2000-01-01T00:00:00","3"
"Mark Markov","12-7","9-4","3-3","13","1992-01-01T00:00:00","4"
"Tzvetan Mihov","1-2","0-2","1-0","2","2010-01-01T00:00:00","2"
"Bozhidar Pampoulov","13-22","7-11","6-11","17","1967-01-01T00:00:00","13"
"Matei Pampoulov","7-13","2-3","5-10","15","1969-01-01T00:00:00","11"
"Milko Petkov","2-5","2-4","0-1","4","1992-01-01T00:00:00","3"
"Lubomir Petrov","4-9","3-8","1-1","7","1975-01-01T00:00:00","6"
"Radoslav Radev","13-3","4-1","9-2","11","1994-01-01T00:00:00","3"
"Ruslan Rainov","5-3","5-3","0-0","6","1986-01-01T00:00:00","4"
"Rangel Rangelov","3-5","2-4","1-1","3","1964-01-01T00:00:00","2"
"Julian Stamatov","15-16","12-13","3-3","14","1980-01-01T00:00:00","9"
"Orlin Stanoytchev","10-9","9-7","1-2","11","1991-01-01T00:00:00","6"
"Ivaylo Traykov","16-14","8-8","8-6","20","1997-01-01T00:00:00","11"
"Petar Trendafilov","3-0","0-0","3-0","3","2012-01-01T00:00:00","1"
"Stefan Tzvetkov","1-2","0-0","1-2","3","1990-01-01T00:00:00","2"
"Milen Velev","20-14","14-7","6-7","20","1988-01-01T00:00:00","9"
"Stojan Velev","5-6","4-3","1-3","5","1967-01-01T00:00:00","3"
"Milen Yanakiev","1-0","1-0","0-0","1","1986-01-01T00:00:00","1"
"Kiril Yashmakov","7-8","5-7","2-1","7","1967-01-01T00:00:00","4"
