"Year","Wins","Earnings ($)","Rank","Scoring average"
"1988-01-01T00:00:00","2","160,382","15","72.98"
"1989-01-01T00:00:00","1","181,874","13","71.87"
"1990-01-01T00:00:00","0","64,863","64","73.72"
"1991-01-01T00:00:00","1","200,831","20","73.16"
"1992-01-01T00:00:00","0","150,163","39","72.94"
"1993-01-01T00:00:00","1","240,643","20","72.0"
"1994-01-01T00:00:00","3","687,201","1","70.91"
"1995-01-01T00:00:00","2","530,349","2","71.37"
"1996-01-01T00:00:00","4","927,302","2","70.32"
"1997-01-01T00:00:00","1","483,571","8","70.86"
"1998-01-01T00:00:00","1","516,547","11","71.76"
"1999-01-01T00:00:00","0","501,798","14","71.33"
"2000-01-01T00:00:00","2","557,158","11","71.91"
"2001-01-01T00:00:00","1","492,143","18","71.84"
"2002-01-01T00:00:00","0","344,232","29","71.68"
"2003-01-01T00:00:00","0","525,902","19","71.27"
"2004-01-01T00:00:00","0","351,961","36","71.04"
"2005-01-01T00:00:00","0","434,589","31","72.52"
"2006-01-01T00:00:00","0","364,531","34","72.94"
"2007-01-01T00:00:00","0","692,010","21","71.71"
"2008-01-01T00:00:00","0","112,914","95","73.16"
"2009-01-01T00:00:00","0","97,681","87","73.56"
"2010-01-01T00:00:00","0","88,211 1","78","72.55"
"2011-01-01T00:00:00","0","26,499","111","73.74"
"2012-01-01T00:00:00","0","42,161","107","74.07"
"2013-01-01T00:00:00","0","2,416","120","74.88"
