"Locale","Skip","Ends Won","Ends Lost","Blank Ends","Stolen Ends","Shot Pct."
"Sweden","Anette Norberg","56","39","11","25","0.75"
"United States","Cassandra Johnson","53","38","13","22","0.76"
"Canada","Jennifer Jones","48","45","3","21","0.68"
"Norway","Dordi Nordby","46","40","11","19","0.72"
"Russia","Olga Jarkova","47","45","17","10","0.7"
"Scotland","Kelly Wood","53","40","6","23","0.69"
"China ","Wang Bingyu","42","45","14","13","0.68"
"Switzerland","Mirjam Ott","45","48","11","13","0.72"
"Japan","Ayumi Onodera","41","48","8","12","0.66"
"Denmark","Madeleine Dupont","36","50","10","12","0.63"
"Italy","Diana Gaspari","39","46","7","12","0.65"
"Finland","Kirsi Nykänen","32","55","3","9","0.58"
